Occupation of Mother,G1,G2,G3
at_home,5,6,6
at_home,5,5,6
at_home,7,8,10
health,15,14,15
other,6,10,10
services,15,15,15
other,12,12,11
other,6,5,6
services,16,18,19
other,14,15,15
teacher,10,8,9
services,10,12,12
health,14,14,14
teacher,10,10,11
other,14,16,16
health,14,14,14
services,13,14,14
other,8,10,10
services,6,5,5
health,8,10,10
teacher,13,14,15
health,12,15,15
teacher,15,15,16
other,13,13,12
services,10,9,8
services,6,9,8
other,12,12,11
health,15,16,15
services,11,11,11
teacher,10,12,11
health,9,11,12
services,17,16,17
teacher,17,16,16
other,8,10,12
other,12,14,15
other,8,7,6
teacher,15,16,18
other,15,16,15
services,12,12,11
at_home,14,13,13
other,7,10,11
teacher,12,12,12
services,19,18,18
services,8,8,11
other,10,10,9
other,8,8,6
other,11,12,11
health,19,19,20
teacher,15,15,14
services,7,7,7
services,12,13,13
health,11,13,13
health,11,11,10
services,8,10,11
other,10,13,13
other,8,9,10
services,14,15,15
teacher,14,15,15
other,9,10,9
services,15,16,16
health,10,11,11
services,10,8,11
other,8,10,9
teacher,10,9,9
services,10,10,10
teacher,16,15,15
other,13,13,12
services,7,7,6
health,8,9,8
other,16,16,16
other,13,15,15
other,10,10,10
other,8,6,5
other,12,12,14
other,11,12,11
teacher,9,9,10
teacher,11,11,10
other,11,11,11
other,8,8,10
at_home,5,5,5
other,10,12,12
other,11,10,11
services,7,6,6
services,15,15,15
other,9,10,10
services,7,9,8
at_home,8,7,6
other,13,14,14
services,11,10,10
teacher,8,6,7
other,7,7,8
services,16,17,18
other,7,6,6
teacher,11,10,10
services,11,13,14
at_home,7,10,10
services,11,15,15
other,8,9,10
other,11,14,14
other,7,9,8
services,7,7,5
services,16,17,17
services,10,13,14
services,7,6,6
services,16,18,18
other,10,11,11
other,7,8,8
services,16,18,18
other,10,13,13
health,14,15,16
teacher,18,19,19
services,7,10,10
at_home,10,13,13
teacher,18,19,19
health,9,9,9
teacher,15,15,16
other,11,13,14
other,13,14,13
other,9,7,8
other,14,13,13
at_home,16,15,15
services,16,14,15
other,13,13,13
health,14,11,13
other,8,7,8
services,13,13,12
other,7,10,11
at_home,7,8,9
services,7,4,0
teacher,18,18,18
services,12,0,0
at_home,8,0,0
other,10,13,12
services,12,11,11
at_home,9,0,0
services,11,0,0
at_home,10,0,0
other,4,0,0
services,14,12,12
teacher,16,16,15
teacher,7,9,0
services,9,9,9
teacher,9,11,11
at_home,14,14,13
other,5,0,0
other,8,11,11
health,6,7,0
at_home,10,11,11
teacher,7,6,0
services,8,9,10
other,6,5,0
at_home,12,13,14
services,10,10,10
services,5,0,0
other,11,11,12
at_home,11,8,8
other,16,12,13
at_home,9,8,10
at_home,17,15,15
other,10,12,12
at_home,7,6,0
other,5,9,7
other,7,0,0
at_home,10,10,10
other,5,8,7
services,12,11,12
other,10,10,10
health,14,15,16
other,6,7,0
health,14,14,14
other,6,5,0
other,13,15,16
teacher,13,11,10
at_home,8,7,0
other,10,11,9
teacher,10,9,9
services,13,13,11
other,6,5,6
teacher,10,8,9
other,10,10,11
teacher,9,8,8
services,12,13,12
services,16,17,17
other,9,9,8
other,12,13,12
services,12,12,11
services,11,12,11
other,15,15,15
health,8,7,9
at_home,8,9,10
services,11,12,13
at_home,8,8,9
at_home,7,8,8
services,8,9,10
other,13,14,14
services,14,15,15
services,17,15,16
teacher,9,9,10
services,18,18,18
teacher,9,9,10
health,16,16,16
other,8,10,10
other,9,9,10
other,7,6,6
services,10,10,11
at_home,10,9,9
services,7,7,7
teacher,11,12,13
at_home,9,9,10
teacher,7,7,7
other,8,8,8
services,12,12,13
other,12,13,14
services,6,7,8
services,8,10,10
other,14,15,15
other,6,6,4
services,6,6,8
at_home,7,7,8
at_home,9,10,10
at_home,6,6,6
at_home,6,5,0
services,16,16,17
other,12,13,13
teacher,13,13,14
other,9,8,7
other,16,15,15
services,12,11,12
at_home,10,8,9
other,12,10,12
health,13,13,14
other,11,11,11
teacher,11,9,9
health,14,13,13
other,9,7,6
at_home,11,9,10
other,14,13,13
other,13,12,12
at_home,13,11,11
other,7,7,0
health,12,12,12
teacher,10,11,12
teacher,6,0,0
services,13,12,12
other,7,0,0
other,18,18,18
other,12,12,13
services,6,8,8
other,3,5,5
other,13,15,15
services,6,8,8
at_home,7,10,10
services,6,9,8
other,8,9,8
other,8,12,12
health,7,9,8
teacher,14,12,13
services,11,11,11
other,15,14,14
services,10,9,0
services,17,18,18
teacher,8,8,8
other,13,12,12
other,10,9,9
at_home,9,10,0
other,17,17,17
services,9,9,10
teacher,12,10,11
health,10,9,10
other,6,0,0
other,9,9,9
other,15,14,14
other,11,11,11
at_home,15,14,14
at_home,10,10,10
services,12,12,12
other,10,9,9
teacher,9,9,9
health,9,8,8
teacher,10,11,10
services,8,8,8
teacher,11,9,10
at_home,12,12,12
other,8,9,10
other,10,9,11
other,12,10,11
at_home,18,18,19
services,13,12,12
services,15,14,14
teacher,15,13,15
teacher,12,11,11
health,15,15,15
services,12,12,13
services,18,18,18
services,14,13,14
health,14,12,11
health,10,9,0
other,10,8,8
other,14,13,14
teacher,16,15,16
health,12,10,11
other,11,11,10
other,15,12,14
health,17,17,18
other,15,14,13
services,14,12,12
services,17,18,18
teacher,8,9,8
other,15,12,12
at_home,12,10,10
services,9,9,0
at_home,14,12,13
other,13,11,11
services,13,10,11
at_home,15,13,13
other,13,11,11
services,8,8,0
other,9,10,9
at_home,11,11,10
teacher,11,11,11
services,13,13,13
other,11,9,9
services,11,11,11
services,12,14,15
at_home,16,15,15
other,9,12,11
other,14,15,16
services,11,10,10
teacher,10,9,9
teacher,14,14,14
other,9,8,8
at_home,12,14,14
services,7,0,0
other,8,8,0
at_home,10,9,0
services,16,15,15
services,14,13,13
other,7,8,0
services,16,15,17
other,9,10,10
services,11,12,11
teacher,10,10,0
services,16,15,15
at_home,9,8,0
at_home,11,10,10
other,13,13,14
teacher,16,15,16
teacher,10,10,9
health,13,15,15
other,11,13,13
other,8,7,8
health,13,13,13
at_home,8,7,8
other,8,8,8
services,13,11,11
services,10,9,9
teacher,12,13,13
services,12,12,11
other,10,10,10
at_home,18,16,16
at_home,13,13,13
at_home,13,12,12
services,11,11,10
at_home,16,15,15
other,12,11,12
at_home,10,10,10
teacher,13,13,13
other,7,6,0
at_home,11,10,10
other,14,12,11
services,7,7,9
at_home,14,12,12
other,13,11,11
other,6,5,5
other,19,18,19
other,8,8,10
health,15,14,15
teacher,8,9,10
other,15,15,15
at_home,10,10,10
teacher,15,14,14
other,7,6,7
other,11,11,10
other,6,5,0
other,6,5,5
at_home,10,9,10
teacher,6,5,6
services,7,5,0
teacher,7,9,8
other,6,5,0
services,9,9,9
services,14,16,16
other,10,8,7
services,11,12,10
other,8,9,9
